"## Filename : qalingo-common-wording",,,,,,,,,,,,,,
"## PrefixKey : common",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Common Messages",,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN"
"feedback","form.label.firstname","Firstname","Prénom","Vorname","Nombre De Pila","Nome","Voornaam","primeiro Nome","ファーストネーム","名字","名字","名字","名字","Tên",
"feedback","form.label.country","Country","Pays","Land","país","paese","land","país","カントリー","国家","國家","國家","國家","Quốc gia",
"feedback","form.label.email","Email","Email","E-mail","E-mail","E-mail","E-mail","E-mail","メール","电子邮件","電子郵件","電子郵件","電子郵件","Email",
"feedback","form.label.phone","Phone","Téléphone","Telefon","teléfono","telefono","telefoon","telefone","電話","电话","電話","電話","電話","Điện thoại",
"feedback","form.label.fax","Fax","Fax","Fax","fax","fax","fax","fax","ファックス","传真","傳真","傳真","傳真","Fax",
"feedback","form.label.mobile","Mobile","Mobile","Handy","móvil","mobile","mobiel","móvel","モバイル","Mobile","Mobile","手機","手機","手機","Di động"
"feedback","form.label.website","Website","Site internet","Webseite","sitio web","sito web","website","site","ウェブサイト","网站","網站","網站","網站","Website",
"feedback","form.label.title","Subject","Sujet","Thema","tema","argomento","onderwerp","tópico","トピック","主题","主題","主題","主題","Chủ đề",
"feedback","form.label.comment","Comment","Commentaire","Comment","Comment","Comment","Comment","Comment","Comment","Comment","Comment","Comment","Comment","Comment",
,,,,,,,,,,,,,,,
"feedback","form.label.submit","Add","Ajouter","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add",
"feedback","form.label.cancel","Cancel","Annuler","stornieren","cancelar","cancellare","annuleren","cancelar","キャンセル","取消","取消","取消","取消","Hủy",
,,,,,,,,,,,,,,,
"feedback","form.success.message","Your comment is sended","Votre commentaire a été ajouté","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended","Your comment is sended",
"feedback","form.fail.message","Your comment can't be send","Votre commentaire ne peut être ajouté","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send","Your comment can't be send",
,,,,,,,,,,,,,,,
